parameter,question_text,A,B,C,D,correct_option
O_score,Do you enjoy trying new things?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you often think about the deeper meaning of things?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to explore new places?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy artistic activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Are you open to discussing abstract concepts?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you prefer variety over routine?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Are you curious about different cultures?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy learning new languages?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you often find yourself thinking about the future?,Strongly Disagree,Disagree,Agree,Strongly Agree,A
O_score,Do you enjoy creative writing?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to engage in philosophical discussions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you appreciate art and music?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to experiment with new ideas?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Are you interested in science and technology?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy reading books on diverse topics?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to challenge traditional views?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you prefer innovative solutions to problems?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy spending time in nature?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to attend cultural events?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy studying history and literature?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you often reflect on your experiences?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy trying new cuisines?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you like to explore new hobbies?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Are you interested in learning about different religions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,Do you enjoy thinking about philosophical questions?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
O_score,I prefer not to engage with abstract ideas and theories.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
O_score,I avoid trying new things whenever possible.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
O_score,I find creativity to be overrated.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
O_score,Sticking to traditions is more important than exploring new possibilities.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
O_score,I have little interest in art and culture.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
C_score,Do you prefer to plan ahead rather than act on impulse?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you pay attention to detail?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you like to set and achieve goals?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you often make lists to stay organized?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you take deadlines seriously?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you prefer to follow a schedule?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you complete tasks before relaxing?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you like to keep your living space tidy?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you often double-check your work?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you consider yourself reliable?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you avoid procrastination?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you enjoy organizing events?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you prefer to stick to routines?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you set long-term goals for yourself?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you manage your time effectively?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you find it easy to concentrate on tasks?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you often prioritize your work over leisure activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you make an effort to be punctual?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you like to plan your day in advance?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you pay attention to the quality of your work?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you enjoy working on detailed projects?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you avoid leaving tasks unfinished?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you take pride in your achievements?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you prefer a structured environment?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Do you find satisfaction in completing tasks on time?,Strongly Disagree,Disagree,Agree,Strongly Agree,D
C_score,Completing tasks on time is not a priority for me.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
C_score,I rarely set goals for myself.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
C_score,I find it acceptable to leave things unfinished.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
C_score,I tend to be disorganized in my daily life.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
C_score,I often procrastinate and delay important work.,Strongly Disagree,Disagree,Agree,Strongly Agree,A
