parameter,question_text,option_a,option_b,option_c,option_d,correct_option
O_score,Do you enjoy trying new things?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you often think about the deeper meaning of things?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to explore new places?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy artistic activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Are you open to discussing abstract concepts?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you prefer variety over routine?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Are you curious about different cultures?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy learning new languages?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you often find yourself thinking about the future?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_a
O_score,Do you enjoy creative writing?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to engage in philosophical discussions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you appreciate art and music?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to experiment with new ideas?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Are you interested in science and technology?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy reading books on diverse topics?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to challenge traditional views?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you prefer innovative solutions to problems?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy spending time in nature?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to attend cultural events?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy studying history and literature?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you often reflect on your experiences?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy trying new cuisines?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you like to explore new hobbies?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Are you interested in learning about different religions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
O_score,Do you enjoy thinking about philosophical questions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you prefer to plan ahead rather than act on impulse?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you pay attention to detail?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you like to set and achieve goals?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you often make lists to stay organized?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you take deadlines seriously?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you prefer to follow a schedule?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you complete tasks before relaxing?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you like to keep your living space tidy?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you often double-check your work?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you consider yourself reliable?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you avoid procrastination?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you enjoy organizing events?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you prefer to stick to routines?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you set long-term goals for yourself?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you manage your time effectively?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you find it easy to concentrate on tasks?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you often prioritize your work over leisure activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you make an effort to be punctual?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you like to plan your day in advance?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you pay attention to the quality of your work?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you enjoy working on detailed projects?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you avoid leaving tasks unfinished?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you take pride in your achievements?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you prefer a structured environment?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
C_score,Do you find satisfaction in completing tasks on time?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy being the center of attention?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you feel energized after socializing?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to meet new people?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy group activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you often start conversations with strangers?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you feel comfortable speaking in public?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you prefer to be surrounded by people?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy attending social events?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to be in leadership positions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you often seek out new social experiences?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy working in teams?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to entertain others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you feel at ease in large crowds?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy making new friends?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you find it easy to express your thoughts and feelings?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you prefer to spend your free time with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy participating in discussions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to share your opinions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you often take charge in group situations?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy being around people?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to engage in social activities?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you feel enthusiastic in social settings?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you enjoy being spontaneous with friends?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you like to make plans for social gatherings?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
E_score,Do you feel invigorated after social interactions?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you often help others without being asked?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you trust people easily?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Are you willing to listen to other people's problems?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you enjoy working in collaborative environments?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you avoid conflicts with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you value others's opinions and feelings?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you often volunteer for community service?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you find it easy to empathize with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you get along well with most people?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you enjoy helping friends and family?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you approach new situations with an open mind?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you value cooperation over competition?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you often show kindness to strangers?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you feel comfortable expressing your feelings to others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you seek to understand others's perspectives?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you enjoy mentoring or coaching others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you believe in the value of teamwork?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you often put others's needs before your own?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you think it is important to support others emotionally?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you enjoy working towards common goals with others?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you strive to maintain harmony in your relationships?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you believe in resolving conflicts through compromise?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
A_score,Do you often engage in acts of kindness?,Strongly Disagree,Disagree,Agree,Strongly Agree,option_d
